photolink,placetitle,placelocation,opentime,maplink
https://iili.io/HK64D21.jpg,ร้าน 2 (คณะเศษฐศาสตร์),ตึกมหิต,"Mon - Fri: 07:00 - 17:00 Sat: 10:00 - 15:00 Sun: Closed",https://goo.gl/maps/JwS9KortnGyqa6QE8
https://iili.io/HK64bYF.jpg,ร้าน 3 (คณะเศษฐศาสตร์),ตึกมหิต,"Mon - Fri: 07:00 - 17:00 Sat: 10:00 - 15:00 Sun: Closed",https://goo.gl/maps/JwS9KortnGyqa6QE8
https://iili.io/HK64mkg.jpg,ร้าน 4 (คณะเศษฐศาสตร์),ตึกมหิต,"Mon - Fri: 07:00 - 17:00 Sat: 10:00 - 15:00 Sun: Closed",https://goo.gl/maps/JwS9KortnGyqa6QE8
https://iili.io/HK64ppa.jpg,ร้าน 5 (คณะเศษฐศาสตร์),ตึกมหิต,"Mon - Fri: 07:00 - 17:00 Sat: 10:00 - 15:00 Sun: Closed",https://goo.gl/maps/JwS9KortnGyqa6QE8
https://iili.io/HK669TJ.jpg,ร้าน 6 (คณะเศษฐศาสตร์),ตึกมหิต,"Mon - Fri: 07:00 - 17:00 Sat: 10:00 - 15:00 Sun: Closed",https://goo.gl/maps/JwS9KortnGyqa6QE8
https://iili.io/HK64iLQ.jpg,ร้าน 7 (คณะเศษฐศาสตร์),ตึกมหิต,"Mon - Fri: 07:00 - 17:00 Sat: 10:00 - 15:00 Sun: Closed",https://goo.gl/maps/JwS9KortnGyqa6QE8
