photolink,placetitle,placelocation,opentime,maplink
https://drive.google.com/file/d/1hKdiQ2iULt1im-0c7ZrEfBb9z97Fe3eN/view?usp=sharing,KUK KIK,Cu Sport Complex,,https://goo.gl/maps/kmxa1FjeA5jEQfhg6
https://drive.google.com/file/d/14oWsETf0J9_PlK9Q0ZMNJsVyRM9SAzXR/view?usp=sharing,Let's Eat Stations,Cu Sport Complex,,https://goo.gl/maps/kmxa1FjeA5jEQfhg6
https://drive.google.com/file/d/1tfhecS_oCuxjF1EQLpoNMvcPdcUB7IPX/view?usp=sharing,Queen's,Cu Sport Complex,13:00 - 21:00,https://goo.gl/maps/D65JdmxG4nb1nr1b7
