photolink,placetitle,placelocation,opentime,maplink
https://drive.google.com/file/d/1fJKzH7qsOc-WOvLRE3tZYdoinvtvjEKS/view?usp=sharing,ร้าน 1 อีสานโครตแซ่บ ,ตึกจุล,06:00-15:00,"https://www.google.com/maps/place/Chula+Chakrabongse+Building+Cafeteria/@13.7355453,100.5288265,17z/data=!4m9!1m2!2m1!1z4LiV4Li24LiB4LiI4Li44LilIOC4iOC4uOC4rOC4siDguYDguJvguLTguJTguIHguLXguYjguYLguKHguIc!3m5!1s0x30e29ed54274a699:0x2fb93c7f2dc7cc69!8m2!3d13.7355479!4d100.5310168!15sCj7guJXguLbguIHguIjguLjguKUg4LiI4Li44Lis4LiyIOC5gOC4m-C4tOC4lOC4geC4teC5iOC5guC4oeC4hyIGGAFoAnABWiIiIOC4leC4tuC4gSDguIjguLjguKUg4LiI4Li44Lis4LiykgEKZm9vZF9jb3VydJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSM2JreEliRVozRUFF4AEA?hl=en-GB"
https://drive.google.com/file/d/1swjcf1t9yr7QdwcEiQRHoMiJpti4BC26/view?usp=sharing,ร้าน 3 อาหารจานเดียว,ตึกจุล,06:00-15:00,"https://www.google.com/maps/place/Chula+Chakrabongse+Building+Cafeteria/@13.7355453,100.5288265,17z/data=!4m9!1m2!2m1!1z4LiV4Li24LiB4LiI4Li44LilIOC4iOC4uOC4rOC4siDguYDguJvguLTguJTguIHguLXguYjguYLguKHguIc!3m5!1s0x30e29ed54274a699:0x2fb93c7f2dc7cc69!8m2!3d13.7355479!4d100.5310168!15sCj7guJXguLbguIHguIjguLjguKUg4LiI4Li44Lis4LiyIOC5gOC4m-C4tOC4lOC4geC4teC5iOC5guC4oeC4hyIGGAFoAnABWiIiIOC4leC4tuC4gSDguIjguLjguKUg4LiI4Li44Lis4LiykgEKZm9vZF9jb3VydJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSM2JreEliRVozRUFF4AEA?hl=en-GB"
https://drive.google.com/file/d/13CEds70filxvU7QBuXIaIkfo5qJPj_N4/view?usp=sharing,ร้าน 2 ข้าวราดแกง,ตึกจุล,06:00-15:00,"https://www.google.com/maps/place/Chula+Chakrabongse+Building+Cafeteria/@13.7355453,100.5288265,17z/data=!4m9!1m2!2m1!1z4LiV4Li24LiB4LiI4Li44LilIOC4iOC4uOC4rOC4siDguYDguJvguLTguJTguIHguLXguYjguYLguKHguIc!3m5!1s0x30e29ed54274a699:0x2fb93c7f2dc7cc69!8m2!3d13.7355479!4d100.5310168!15sCj7guJXguLbguIHguIjguLjguKUg4LiI4Li44Lis4LiyIOC5gOC4m-C4tOC4lOC4geC4teC5iOC5guC4oeC4hyIGGAFoAnABWiIiIOC4leC4tuC4gSDguIjguLjguKUg4LiI4Li44Lis4LiykgEKZm9vZF9jb3VydJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSM2JreEliRVozRUFF4AEA?hl=en-GB"
