photolink,placetitle,placelocation,opentime,maplink
https://drive.google.com/file/d/1juacbZlGaJ9caCKpjhq5BFe_WBFkUrmt/view?usp=sharing,ร้าน 2 จุฬาพัฒน์,จุฬสพัฒน์14,07:30 - 15:00,https://goo.gl/maps/oAfXDiwHS74wFCQo9
https://drive.google.com/file/d/1USufOkCgNY8BIKzb6ri4VYeqPm7_8qmd/view?usp=sharing,ร้าน 3 จุฬาพัฒน์,จุฬสพัฒน์14,07:30 - 15:00,https://goo.gl/maps/oAfXDiwHS74wFCQo9
https://drive.google.com/file/d/11ZVuX1xtmcHZC64-aSeWimL-nDBXU0Ep/view?usp=sharing,ร้าน 4 จุฬาพัฒน์,จุฬสพัฒน์14,07:30 - 15:00,https://goo.gl/maps/oAfXDiwHS74wFCQo9
https://drive.google.com/file/d/1QhV5dEE_fBiUTMcfPx9hMu8hbaDzou_m/view,ร้าน 5 จุฬาพัฒน์,จุฬสพัฒน์14,07:30 - 15:00,https://goo.gl/maps/oAfXDiwHS74wFCQo9
