photolink,placetitle,placelocation,opentime,maplink
https://iili.io/HK6iCXf.jpg,ร้าน 2 (คณะรัฐศาสตร์),โรงอาหารรัฐศาสตร์,Mon - Fri: 07:00 - 17:00 Sat: 10:00 - 15:00 Sun: Closed,https://goo.gl/maps/x62iyQQw4SWKX4rWA
https://iili.io/HK6iF5X.jpg,ร้าน 3 (คณะรัฐศาสตร์),โรงอาหารรัฐศาสตร์,Mon - Fri: 07:00 - 17:00 Sat: 10:00 - 15:00 Sun: Closed,https://goo.gl/maps/x62iyQQw4SWKX4rWA
https://iili.io/HK6iKen.jpg,ร้าน 5 (คณะรัฐศาสตร์),โรงอาหารรัฐศาสตร์,Mon - Fri: 07:00 - 17:00Sat: 10:00 - 15:00 Sun: Closed,https://goo.gl/maps/x62iyQQw4SWKX4rWA
https://iili.io/HK6i3Jt.jpg,ร้าน 8 (คณะรัฐศาสตร์),โรงอาหารรัฐศาสตร์,Mon - Fri: 07:00 - 17:00 Sat: 10:00 - 15:00 Sun: Closed,https://goo.gl/maps/x62iyQQw4SWKX4rWA
