photolink,placetitle,placelocation,opentime,maplink
https://iili.io/HK6m3D7.jpg,ร้าน 4 หอใน,หอพักนิสิตจุฬา,07:00 - 19:00,https://goo.gl/maps/p8hu4g7nj18qd6gF6
https://iili.io/HK6mJHl.jpg,ร้าน 3 หอใน,หอพักนิสิตจุฬา,07:00 - 19:00,https://goo.gl/maps/p8hu4g7nj18qd6gF6
https://iili.io/HK6mfVe.jpg,ร้าน 6 หอใน,หอพักนิสิตจุฬา,07:00 - 19:00,https://goo.gl/maps/p8hu4g7nj18qd6gF6
https://iili.io/HK6m2NS.jpg,ร้าน 7 หอใน,หอพักนิสิตจุฬา,07:00 - 19:00,https://goo.gl/maps/p8hu4g7nj18qd6gF6
https://iili.io/HK6p3dv.jpg,ร้าน 2 หอใน,หอพักนิสิตจุฬา,07:00 - 19:00,https://goo.gl/maps/p8hu4g7nj18qd6gF6
